id,freq1,freq2,freq
the,1949626,1849279,3798905
and,884771,1089559,1974330
to,894956,1058914,1953870
a,885127,895154,1780281
of,771275,873931,1645206
in,677233,596796,1274029
i,194852,904302,1099154
that,369738,481786,851524
s,453691,323163,776854
it,283906,481237,765143
for,351667,362958,714625
is,282384,429987,712371
on,269485,276237,545722
with,254177,286202,540379
was,227862,276721,504583
you,113847,326697,440544
he,253538,158902,412440
as,187006,223516,410522
at,214000,172131,386131
this,121484,257978,379462
be,151683,207677,359360
have,142001,217118,359119
but,151047,206230,357277
we,124715,206666,331381
are,137540,192627,330167
t,125311,190970,316281
my,41886,269463,311349
from,151808,148150,299958
said,250254,36688,286942
not,111652,173790,285442
they,129114,151431,280545
his,156139,109174,265313
by,133173,122920,256093
or,98964,143694,242658
an,123176,110053,233229
so,56341,166553,222894
will,106919,111431,218350
all,71691,146549,218240
one,89025,128647,217672
has,119383,92050,211433
about,89551,115159,204710
who,111048,87102,198150
had,82703,106238,188941
can,69244,118083,187327
up,76541,110719,187260
out,74751,110753,185504
when,78464,103998,182462
she,82061,100033,182094
more,86902,91563,178465
there,69567,108061,177628
what,60704,115218,175922
their,85568,89038,174606
her,68501,105914,174415
if,64525,108947,173472
me,27548,139958,167506
just,53049,100301,153350
would,71539,81700,153239
like,50740,100333,151073
were,73431,77142,150573
time,56904,90762,147666
been,65777,77519,143296
some,51067,88450,139517
do,43498,92445,135943
m,59870,72559,132429
which,60255,71821,132076
your,31520,98485,130005
new,70371,54517,124888
no,55203,69049,124252
them,42500,80378,122878
our,38247,84417,122664
year,81172,37012,118184
get,43668,71003,114671
also,58430,55036,113466
into,48398,62738,111136
after,62902,46648,109550
people,48341,60804,109145
than,58598,50458,109056
first,57569,51422,108991
other,51137,55981,107118
two,63485,42097,105582
how,34037,66520,100557
because,39028,57992,97020
now,36380,60193,96573
over,43266,52311,95577
him,43327,49709,93036
then,30494,61570,92064
e,42302,49375,91677
its,57219,33632,90851
last,52050,36066,88116
only,35221,52387,87608
don,31079,56413,87492
back,35442,51292,86734
could,40222,44905,85127
day,32324,52621,84945
know,23552,60582,84134
make,32535,51149,83684
even,30288,51975,82263
years,46918,33260,80178
good,30238,49073,79311
well,26557,50679,77236
much,27093,49121,76214
way,28706,47493,76199
re,39976,35903,75879
most,34719,39209,73928
think,24797,47758,72555
see,22161,50204,72365
going,31438,39759,71197
where,32125,39043,71168
before,33714,36902,70616
us,19987,50343,70330
many,30003,39779,69782
ve,22615,47078,69693
here,20477,49026,69503
go,25820,43458,69278
really,18801,49706,68507
very,20510,47894,68404
those,30818,37554,68372
these,19867,47731,67598
state,55996,11204,67200
off,31106,35192,66298
made,28754,37289,66043
any,25908,39485,65393
through,29669,35375,65044
did,25446,39035,64481
work,26942,37462,64404
still,26511,37873,64384
little,18486,45680,64166
while,28671,34963,63634
down,27650,35324,62974
being,22912,38870,61782
may,28739,32227,60966
want,21852,37595,59447
home,30776,27932,58708
right,23770,34685,58455
life,16718,41680,58398
take,24688,33417,58105
three,39096,18503,57599
am,6139,50624,56763
too,19111,37553,56664
school,36839,18186,55025
love,9746,45237,54983
say,23529,31182,54711
city,42598,11566,54164
things,14534,38571,53105
got,20960,31572,52532
around,19543,32722,52265
d,19813,32033,51846
week,23817,27497,51314
another,22036,27817,49853
long,22592,27062,49654
something,14903,34546,49449
should,21108,28065,49173
world,17895,30616,48511
since,23913,24242,48155
great,17032,31110,48142
old,24244,23784,48028
never,16935,31074,48009
few,15824,31695,47519
need,17175,29705,46880
didn,19675,27166,46841
such,21672,24625,46297
next,21148,24977,46125
every,17660,27940,45600
ll,15502,30009,45511
game,35273,9353,44626
best,21105,22770,43875
each,18230,25582,43812
own,15519,27792,43311
high,28213,14663,42876
today,17248,25235,42483
says,31831,10316,42147
same,17918,23936,41854
part,19783,21421,41204
family,20469,20441,40910
both,19992,20886,40878
place,17632,23054,40686
lot,18514,21598,40112
big,20730,19113,39843
look,13407,26196,39603
team,31228,8363,39591
use,14912,24603,39515
house,19914,19019,38933
always,12059,26455,38514
why,12044,26048,38092
during,23382,14469,37851
until,16005,21739,37744
find,11681,25988,37669
again,11156,26465,37621
end,17353,20249,37602
night,17954,19492,37446
used,13718,23259,36977
percent,34505,2386,36891
better,15988,20712,36700
help,18002,18498,36500
put,15074,21248,36322
man,16078,19914,35992
season,29062,6729,35791
against,23418,12180,35598
million,30789,4751,35540
second,22940,12283,35223
book,6672,28309,34981
days,14660,20159,34819
thing,10776,24023,34799
though,13211,21488,34699
found,15120,19352,34472
left,17747,16688,34435
four,24849,9226,34075
show,17278,16714,33992
let,9414,24424,33838
between,16666,17061,33727
might,14436,19267,33703
away,12661,20843,33504
county,31559,1927,33486
feel,9202,24129,33331
went,13520,19730,33250
told,18832,14363,33195
police,27019,5908,32927
came,14919,17590,32509
without,13745,18676,32421
does,12028,20376,32404
play,21204,11020,32224
public,22687,9089,31776
sure,9162,22488,31650
children,15086,16476,31562
p,26069,4981,31050
point,14671,16230,30901
under,17782,13084,30866
u,25511,5336,30847
times,13995,16837,30832
enough,12007,18777,30784
set,14137,16637,30774
give,11221,19213,30434
top,15939,14491,30430
money,18328,12100,30428
called,15683,14547,30230
keep,12343,17785,30128
took,14384,15721,30105
thought,8519,21416,29935
st,23655,6006,29661
once,11266,18150,29416
different,10020,18678,28698
story,9426,19265,28691
ever,8701,19764,28465
run,17290,11166,28456
god,2780,25462,28242
making,12124,15991,28115
pany,21488,6551,28039
start,12870,15161,28031
including,20239,7788,28027
doesn,12449,15569,28018
getting,11156,16755,27911
free,13991,13690,27681
ing,12700,14827,27527
won,16298,10928,27226
five,19415,7803,27218
doing,9438,17445,26883
small,11839,14647,26486
group,16529,9920,26449
hard,11386,15027,26413
done,9551,16781,26332
th,14157,12170,26327
having,8476,17848,26324
yet,9909,16393,26302
later,13623,12543,26166
least,12154,13723,25877
read,4488,21364,25852
bit,6159,19661,25820
president,20682,5095,25777
food,11782,13892,25674
post,6191,19469,25660
business,16409,9212,25621
started,9847,15771,25618
past,12873,12708,25581
es,10227,15298,25525
ago,13140,12346,25486
center,20877,4594,25471
room,11179,14284,25463
white,11169,14293,25462
far,10880,14480,25360
case,14284,10962,25246
water,11341,13834,25175
month,14806,10159,24965
together,8942,16017,24959
must,9102,15844,24946
wanted,9180,15687,24867
looking,9320,15392,24712
government,15542,9082,24624
law,16873,7662,24535
job,13955,10515,24470
already,10823,13585,24408
course,7906,16199,24105
friends,7544,16548,24092
able,9363,14659,24022
however,8685,15321,24006
less,11776,12148,23924
several,14090,9782,23872
head,9830,13823,23653
along,11039,12601,23640
working,10855,12689,23544
full,10039,13497,23536
actually,5531,17989,23520
real,9429,14025,23454
according,17832,5510,23342
trying,9987,13246,23233
open,13178,10051,23229
half,12370,10857,23227
call,12277,10884,23161
kids,8789,14332,23121
side,9664,13348,23012
try,7703,15128,22831
early,13620,9103,22723
minutes,10364,12316,22680
kind,8937,13589,22526
months,12203,10321,22524
asked,11507,10967,22474
makes,8302,14124,22426
anything,7280,15129,22409
american,14025,8357,22382
country,12789,9591,22380
everything,7123,15148,22271
pretty,6313,15916,22229
someone,7151,15062,22213
person,8126,14011,22137
young,11687,10382,22069
others,9642,12415,22057
often,9137,12892,22029
women,10551,11386,21937
care,12274,9531,21805
tell,6299,15414,21713
area,14095,7495,21590
court,17006,4407,21413
office,15486,5895,21381
line,11631,9697,21328
hope,5996,15284,21280
health,15213,6047,21260
name,8266,12989,21255
everyone,6668,14537,21205
fact,6470,14668,21138
local,12644,8435,21079
change,9261,11787,21048
live,8009,12965,20974
national,14790,6170,20960
believe,7686,13182,20868
nothing,6799,14027,20826
wasn,8717,11900,20617
blog,933,19667,20600
former,16877,3664,20541
myself,2526,18000,20526
students,14355,6090,20445
games,15761,4458,20219
black,7668,12363,20031
friday,14473,5556,20029
using,7122,12858,19980
plan,12548,7421,19969
morning,7931,12011,19942
number,10379,9460,19839
almost,7695,12139,19834
fun,4744,14979,19723
bad,6969,12688,19657
based,12346,7293,19639
music,8757,10794,19551
third,14388,5158,19546
whether,11691,7844,19535
maybe,5373,14052,19425
university,14639,4767,19406
pay,13209,6182,19391
six,14298,5009,19307
probably,6759,12533,19292
hours,9059,10229,19288
weeks,8395,10841,19236
program,14570,4499,19069
isn,7702,11219,18921
street,12392,6457,18849
board,14955,3855,18810
whole,5674,13132,18806
hand,6403,12337,18740
party,9447,9261,18708
couple,7190,11492,18682
cut,8720,9911,18631
seen,7404,11225,18629
power,9167,9456,18623
mother,7793,10825,18618
news,10741,7827,18568
add,5962,12568,18530
road,12523,6004,18527
information,10700,7761,18461
face,7497,10912,18409
happy,4876,13466,18342
idea,6016,12284,18300
john,11499,6790,18289
car,9794,8440,18234
hit,12123,6110,18233
win,13178,5042,18220
system,10981,7234,18215
men,8514,9661,18175
york,12797,5351,18148
heart,5630,12481,18111
taking,8189,9915,18104
important,7791,10239,18030
park,13011,5018,18029
support,10652,7353,18005
quite,3496,14442,17938
lost,9669,8219,17888
series,10011,7848,17859
instead,7437,10399,17836
members,12474,5342,17816
mind,4298,13451,17749
saturday,12604,4950,17554
officials,16182,1366,17548
among,12381,5166,17547
friend,4836,12658,17494
large,8462,8969,17431
given,7262,10158,17420
april,12391,4993,17384
district,15644,1733,17377
child,7241,9986,17227
behind,8642,8576,17218
monday,13048,4089,17137
close,8966,8150,17116
service,11463,5621,17084
late,10174,6906,17080
department,14266,2813,17079
red,8078,8890,16968
light,5973,10917,16890
points,12928,3886,16814
move,9069,7701,16770
saw,6815,9948,16763
federal,14740,1963,16703
across,8335,8342,16677
project,8761,7880,16641
stop,6582,10048,16630
books,3416,13178,16594
class,8273,8253,16526
obama,12529,3978,16507
tuesday,13778,2711,16489
munity,10647,5825,16472
woman,7292,9139,16431
states,10799,5616,16415
experience,6589,9813,16402
share,6274,10123,16397
college,11557,4835,16392
market,10589,5704,16293
rather,4970,11302,16272
decided,4487,11771,16258
bill,12853,3384,16237
list,7175,9060,16235
sunday,10957,5259,16216
known,8321,7890,16211
director,13351,2813,16164
film,6428,9735,16163
yes,3867,12258,16125
means,5531,10529,16060
south,9983,6074,16057
running,8486,7547,16033
else,4916,11081,15997
remember,3647,12336,15983
front,7616,8364,15980
although,6718,9257,15975
seems,4893,11052,15945
history,8522,7397,15919
sometimes,5197,10711,15908
outside,8004,7895,15899
knew,5770,10121,15891
deal,9615,6273,15888
felt,4964,10923,15887
thursday,12946,2865,15811
special,7881,7791,15672
building,10268,5384,15652
coach,14425,1202,15627
short,6647,8975,15622
tax,13108,2493,15601
order,5948,9636,15584
leave,5613,9945,15558
added,8813,6683,15496
saying,7729,7758,15487
anyone,5618,9858,15476
taken,7102,8371,15473
death,7680,7715,15395
needed,6755,8607,15362
summer,7638,7701,15339
especially,6332,8990,15322
within,6640,8669,15309
writing,2572,12700,15272
turn,6324,8919,15243
body,5411,9803,15214
words,3613,11601,15214
north,10701,4503,15204
talk,6310,8885,15195
playing,8741,6432,15173
parents,7321,7847,15168
mr,7954,7136,15090
gave,7168,7905,15073
either,5556,9461,15017
soon,5371,9642,15013
bring,6822,8136,14958
report,11064,3885,14949
easy,5045,9872,14917
future,7427,7455,14882
ohio,14119,746,14865
wednesday,12057,2710,14767
played,10243,4516,14759
general,9346,5362,14708
